"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1334","Mocking tag list using login api call conduit","","Mon Jun 30 10:04:56 GMT 2025","passed","Mon Jun 30 10:04:58 GMT 2025","","This is a test for opening SE Social and verifying the Home Feed post","",""
"","1","API intercept","","Mon Jun 30 10:04:54 GMT 2025","skipped","Mon Jun 30 10:04:54 GMT 2025","","This is a test for opening SE Social and verifying the Home Feed post","",""
"","3","Login to SESocial and creating a post SESocial","","Mon Jun 30 10:04:51 GMT 2025","skipped","Mon Jun 30 10:04:51 GMT 2025","","This is a test for opening SE Social and verifying the Home Feed post","",""
"","2055","Mocking Tags conduit","","Mon Jun 30 10:04:54 GMT 2025","passed","Mon Jun 30 10:04:56 GMT 2025","","This is a test for opening SE Social and verifying the Home Feed post","",""
"","364","Conduit site user creation conduit","","Mon Jun 30 10:04:51 GMT 2025","passed","Mon Jun 30 10:04:51 GMT 2025","","This is a test for opening SE Social and verifying the Home Feed post","",""
"","1050","login using xpath in Cypress conduit","","Mon Jun 30 10:04:58 GMT 2025","passed","Mon Jun 30 10:04:59 GMT 2025","","This is a test for opening SE Social and verifying the Home Feed post","",""
